No,英語,日本語,単元
1,create,を創り出す,section1
2,increase,増加する,section1
3,improve,を向上させる,section1
4,mean,を意味する,section1
5,own,を所有している,section1
6,include,を含む,section1
7,consider,を見なす,section1
8,allow,を許す,section1
9,suggest,を提案する,section1
10,produce,を生産する,section1
11,decide,を決める,section1
12,offer,を提供する/申し出る,section1
13,require,を要求する,section1
14,share,を共有する,section1
15,store,を保存する,section1
16,tend,傾向がある,section1
17,concern,心配している,section1
18,describe,について述べる/を説明する,section1
19,involve,を関与させる,section1
20,reduce,を減らす,section1
21,design,を設計する,section1
22,force,に強いる,section1
23,limit,を制限[規制]する,section1
24,bear,に耐える,section1
25,affect,に影響を及ぼす,section1
26,deal,を処理する,section1
27,avoid,を避ける,section1
28,relate,を関連づける,section1
29,realize,に気づく,section1
30,encourage,を奨励する,section1
31,compare,を比較する,section1
32,measure,を測る,section1
33,exist,存在する,section1
34,mark,に印をつける,section1
35,challenge,に異議を唱える,section1
36,depend,頼る,section1
37,object,反対する,section1
38,demand,を要求する,section1
39,found,を設立する,section1
40,complete,を完成させる/仕上げる,section1
41,idea,考え/思いつき,section1
42,accord,一致,section1
43,company,会社,section1
44,interest,興味,section1
45,research,研究/調査,section1
46,cause,原因,section1
47,reason,理由,section1
48,effect,影響/効果,section1
49,influence,影響(力),section1
50,situation,状況,section1
51,environment,環境,section1
52,skill,技能,section1
53,matter,事柄,section1
54,view,見解,section1
55,value,価値,section1
56,species,(生物の)種,section1
57,thought,考え,section1
58,knowledge,知識,section1
59,memory,記憶(力),section1
60,practice,実践/実行,section1
61,benefit,利益/恩恵,section1
62,theory,学説,section1
63,issue,問題(点),section1
64,experiment,実験,section1
65,article,記事,section1
66,focus,焦点,section1
67,subject,話題,section1
68,project,計画,section1
69,quality,質,section1
70,role,役割,section1
71,term,(専門)用語,section1
72,statement,声明,section1
73,material,材料/素材,section1
74,evidence,証拠,section1
75,source,源/根源,section1
76,community,(共同)社会/~界,section1
77,technology,科学技術,section1
78,culture,文化,section1
79,appropriate,適切な,section1
80,likely,ありそうな,section1
81,possible,可能な,section1
82,individual,個々の,section1
83,public,公の,section1
84,common,共通の,section1
85,certain,確信して,section1
86,similar,似ている/類似した,section1
87,recent,最近の,section1
88,major,主要な；大きい(ほうの),section1
89,patient,忍耐強い,section1
90,particular,特定の,section1
91,physical,身体の,section1
92,various,さまざまな,section1
93,available,手に入る,section1
94,native,出生地の,section1
95,political,政治(上)の,section1
96,due,予定された,section1
97,blank,空白の,section1
98,ancient,古代の,section1
99,correct,正しい,section1
100,despite,~にもかかわらず,section1
101,notice,に気づく,section2
102,refer,言及する/関連する,section2
103,approach,に近づく,section2
104,wonder,かなと思う,section2
105,imagine,(を)想像する,section2
106,recognize,を識別できる,section2
107,solve,を解く/解明する,section2
108,occur,起こる,section2
109,argue,と主張する,section2
110,claim,と主張する,section2
111,express,を表す/述べる,section2
112,draw,を引き出す,section2
113,waste,を浪費する/無駄にする,section2
114,advance,を進歩させる,section2
115,spread,を広める,section2
116,prepare,を準備する,section2
117,gain,を獲得する,section2
118,achieve,を達成する,section2
119,establish,を確立する,section2
120,supply,を供給する,section2
121,suppose,と思う,section2
122,perform,(を)行う,section2
123,prefer,のほうを好む,section2
124,determine,を決定する,section2
125,treat,を扱う,section2
126,prove,を証明する,section2
127,apply,を適用[応用]する,section2
128,mention,に言及する,section2
129,communicate,情報交換をする,section2
130,contain,を含む,section2
131,contact,と連絡を取る,section2
132,regard,を見なす,section2
133,respect,を尊敬する,section2
134,search,捜す,section2
135,connect,をつなぐ,section2
136,decline,減少する,section2
137,prevent,を妨げる,section2
138,suffer,苦しむ,section2
139,survive,を切り抜けて生き残る,section2
140,publish,を出版する,section2
141,opportunity,機会,section2
142,task,(課せられた)仕事/作業,section2
143,industry,産業,section2
144,medium,(情報伝達の)媒体,section2
145,economy,経済(状態),section2
146,policy,政策/方針,section2
147,account,説明,section2
148,trade,貿易,section2
149,model,模範,section2
150,figure,数字,section2
151,cell,細胞,section2
152,image,印象/イメージ,section2
153,emotion,感情/情動,section2
154,stress,ストレス,section2
155,decade,10年間,section2
156,range,範囲,section2
157,character,性格/個性,section2
158,advantage,利点,section2
159,phrase,句,section2
160,damage,損害/損傷,section2
161,impact,影響,section2
162,method,方法,section2
163,resource,資源,section2
164,region,地域,section2
165,medicine,薬,section2
166,detail,詳細(な情報)/細部,section2
167,feature,特徴,section2
168,function,機能,section2
169,access,利用/入手,section2
170,item,品目/項目,section2
171,income,収入,section2
172,attitude,態度,section2
173,site,用地/場所,section2
174,aspect,(物事の)側面,section2
175,structure,構造,section2
176,habit,習慣/癖,section2
177,link,関連/つながり,section2
178,instance,(具体的な)例/実例,section2
179,positive,肯定的な,section2
180,negative,否定的な,section2
181,complex,複雑な,section2
182,current,現在の,section2
183,mental,精神の,section2
184,specific,特定の,section2
185,significant,重要な/重大な,section2
186,essential,必要不可欠な,section2
187,official,公用の,section2
188,financial,財政(上)の,section2
189,academic,学問の,section2
190,aware,気づいて/知って,section2
191,worth,に値する,section2
192,potential,潜在的な,section2
193,active,積極的な,section2
194,digital,デジタル方式の,section2
195,mobile,可動[移動]式の,section2
196,novel,斬新な/目新しい,section2
197,plastic,柔軟な,section2
198,chemical,化学の/化学的な,section2
199,necessary,必要な,section2
200,eventually,結局(は),section2
201,identify,を特定する,section3
202,represent,を表す,section3
203,indicate,を指し示す,section3
204,manage,を何とか成し遂げる,section3
205,attend,に出席する,section3
206,maintain,を維持する,section3
207,survey,を調査する,section3
208,replace,に取って代わる,section3
209,sort,を分類する,section3
210,conduct,(調査・実験など)を実施する,section3
211,associate,を結び付けて考える,section3
212,attempt,を試みる/企てる,section3
213,promote,を促進する,section3
214,earn,を稼ぐ,section3
215,unite,を団結させる,section3
216,feed,に食べ物[乳]を与える,section3
217,seek,を追い求める,section3
218,observe,に気づく,section3
219,reveal,を明らかにする,section3
220,estimate,と推定する,section3
221,reflect,を反映する,section3
222,attract,を引きつける,section3
223,decrease,減少する,section3
224,ignore,を無視する,section3
225,match,(と)合う,section3
226,define,を定義する,section3
227,adapt,適応する,section3
228,contribute,貢献する/一因となる,section3
229,exchange,(を)交換する,section3
230,display,を示す,section3
231,respond,反応する,section3
232,hide,を隠す,section3
233,doubt,ではないと思う,section3
234,remove,を取り除く,section3
235,wind,(ねじなど)を巻く,section3
236,assume,を当然のことと思う/と仮定する,section3
237,relax,くつろぐ,section3
238,satisfy,を満足させる,section3
239,desire,を強く望む,section3
240,succeed,成功する,section3
241,concept,概念,section3
242,fashion,流行/ファッション,section3
243,device,装置/機器,section3
244,charge,料金,section3
245,contrast,対照,section3
246,colleague,(職場の)同僚,section3
247,pain,苦痛/痛み,section3
248,bill,請求書,section3
249,content,内容/中身,section3
250,section,部門,section3
251,audience,聴衆/観客,section3
